ts,service,region,tenant,requests,errors,p50_ms,p95_ms,p99_ms,bytes_in,bytes_out
2026-07-11T00:17:00Z,ingest-api,ap-southeast-2,t-03741,8042,12,34.60,81.47,131.60,19747989,61560427
2026-07-11T00:02:00Z,exporter,us-west-2,t-00846,2775,4,71.16,132.34,204.32,6089003,19162844
2026-07-11T00:18:00Z,alerting,eu-central-1,t-00086,5327,61,57.28,126.40,216.65,3017470,22497699
2026-07-11T00:10:00Z,billing,eu-central-1,t-00526,4095,43,67.05,131.95,184.05,4393173,29166961
2026-07-11T00:22:00Z,exporter,us-west-2,t-02540,1601,3,67.60,152.23,225.38,696613,10716163
2026-07-11T00:14:00Z,query-api,us-east-1,t-02364,6905,18,67.94,129.10,200.49,13207471,53113438
2026-07-11T00:18:00Z,ingest-api,us-east-1,t-02521,994,6,43.97,112.71,189.52,1536004,7363589
2026-07-11T00:42:00Z,alerting,ap-southeast-2,t-03343,11219,155,49.19,90.45,183.09,9299329,26751458
2026-07-11T00:20:00Z,alerting,ap-southeast-2,t-01888,7094,49,41.85,105.68,167.66,16156158,28895300
2026-07-11T00:35:00Z,ingest-api,us-west-2,t-00031,4876,55,62.97,173.72,284.57,12346852,24054239
2026-07-11T00:11:00Z,query-api,us-east-1,t-00823,4481,8,46.56,92.08,188.04,10089416,21065294
2026-07-11T00:57:00Z,alerting,ap-southeast-2,t-00246,1104,9,29.19,66.86,129.72,934042,1293211
2026-07-11T00:19:00Z,exporter,eu-central-1,t-03341,10996,4,70.67,163.70,341.24,12233696,70734465
2026-07-11T00:40:00Z,alerting,eu-central-1,t-00841,10706,62,44.77,81.66,135.81,11477598,20280003
2026-07-11T00:32:00Z,exporter,us-east-1,t-03201,9603,4,55.44,133.31,270.44,5466125,13053650
2026-07-11T00:34:00Z,ingest-api,ap-southeast-2,t-02322,11401,148,21.51,56.61,118.86,14674279,57144609
2026-07-11T00:21:00Z,billing,eu-central-1,t-00683,7209,15,70.89,161.59,214.54,7133854,50855432
2026-07-11T00:11:00Z,query-api,us-east-1,t-00523,4277,43,64.10,122.90,183.35,2558720,21030418
2026-07-11T00:18:00Z,alerting,us-west-2,t-03766,4821,36,57.65,114.17,209.82,2749818,28220486
2026-07-11T00:00:00Z,ingest-api,us-east-1,t-02234,10272,23,45.26,91.30,165.27,11623172,49274858
2026-07-11T00:41:00Z,query-api,us-west-2,t-02892,3562,19,49.37,132.73,174.07,2960021,18451270
2026-07-11T00:27:00Z,query-api,eu-central-1,t-01849,9853,109,72.78,147.82,277.59,21939430,65379990
2026-07-11T00:48:00Z,exporter,eu-central-1,t-03956,1089,14,40.39,103.68,210.16,2193440,5503389
2026-07-11T00:32:00Z,billing,us-west-2,t-01971,4352,54,32.67,66.09,114.93,6914179,25840262
2026-07-11T00:48:00Z,exporter,eu-central-1,t-00782,9659,81,54.86,139.42,207.07,14466668,51750905
2026-07-11T00:08:00Z,billing,ap-southeast-2,t-00764,5434,73,42.20,91.13,176.77,8404946,40036801
2026-07-11T00:13:00Z,alerting,ap-southeast-2,t-01249,1222,4,71.90,184.64,244.56,2956689,7443769
2026-07-11T00:56:00Z,billing,us-east-1,t-02902,1828,3,74.86,135.38,192.98,2057968,10218455
2026-07-11T00:14:00Z,ingest-api,us-west-2,t-03755,5141,28,23.07,46.62,68.55,12238041,37735050
2026-07-11T00:34:00Z,billing,us-west-2,t-01518,9259,118,75.53,171.65,293.22,23072970,60920792
2026-07-11T00:33:00Z,billing,eu-central-1,t-00072,1333,11,65.17,162.90,307.84,538369,4363061
2026-07-11T00:36:00Z,exporter,us-east-1,t-01782,10454,155,66.52,168.76,250.80,9546551,44761644
2026-07-11T00:49:00Z,exporter,ap-southeast-2,t-02104,10445,7,57.73,110.95,157.89,7134280,57967063
2026-07-11T00:38:00Z,ingest-api,ap-southeast-2,t-02987,8786,75,62.77,171.19,279.75,5590468,59846206
2026-07-11T00:42:00Z,exporter,eu-central-1,t-00855,9906,84,44.59,91.44,152.01,5226123,20853802
2026-07-11T00:11:00Z,ingest-api,ap-southeast-2,t-01437,1305,12,46.09,91.22,154.80,575808,8858566
2026-07-11T00:37:00Z,query-api,us-east-1,t-03310,1084,7,25.44,48.39,86.06,556452,5675020
2026-07-11T00:17:00Z,ingest-api,ap-southeast-2,t-03375,433,5,62.61,166.86,257.63,278927,2669376
2026-07-11T00:16:00Z,billing,eu-central-1,t-00175,1069,3,70.94,185.61,303.90,679168,3214166
2026-07-11T00:48:00Z,ingest-api,ap-southeast-2,t-01781,98,0,22.87,56.38,87.03,99042,274471
2026-07-11T00:01:00Z,alerting,ap-southeast-2,t-03755,9553,117,57.15,152.58,292.29,19561103,28003296
2026-07-11T00:10:00Z,query-api,eu-central-1,t-03487,3422,0,30.26,66.32,114.76,3943195,16217320
2026-07-11T00:34:00Z,exporter,us-west-2,t-03909,9634,10,75.08,190.65,324.57,4188184,51778735
2026-07-11T00:32:00Z,alerting,us-west-2,t-01882,2882,32,77.72,203.26,411.50,6773310,3551794
2026-07-11T00:35:00Z,ingest-api,us-west-2,t-02310,5888,74,24.11,59.40,87.80,5791685,17345621
2026-07-11T00:42:00Z,alerting,ap-southeast-2,t-01743,10020,109,45.20,107.78,201.05,19153361,45247725
2026-07-11T00:29:00Z,alerting,us-east-1,t-00349,2452,13,45.56,115.90,240.79,5891462,14640956
2026-07-11T00:41:00Z,ingest-api,us-east-1,t-00741,3905,13,38.98,97.97,205.33,9234662,12897188
2026-07-11T00:39:00Z,billing,us-east-1,t-03210,2963,16,31.01,75.54,142.75,1327509,21602214
2026-07-11T00:48:00Z,alerting,ap-southeast-2,t-03150,5493,24,48.01,116.59,189.28,3112416,23512854
2026-07-11T00:30:00Z,exporter,ap-southeast-2,t-01217,3659,36,70.52,147.93,294.60,3149244,4764750
2026-07-11T00:03:00Z,ingest-api,us-west-2,t-01480,6490,34,29.94,67.40,117.64,11466303,34051451
2026-07-11T00:45:00Z,alerting,us-east-1,t-00684,7579,111,24.20,43.57,78.57,5109684,49829628
2026-07-11T00:05:00Z,alerting,eu-central-1,t-01388,2092,28,30.30,73.38,110.32,4189322,13555886
2026-07-11T00:54:00Z,billing,ap-southeast-2,t-03499,6375,70,49.22,132.01,242.23,11530460,34148157
2026-07-11T00:08:00Z,ingest-api,us-east-1,t-00641,10706,104,79.75,160.33,237.70,5284336,81275130
2026-07-11T00:25:00Z,billing,us-east-1,t-02742,5405,5,47.83,88.43,178.32,2787122,5836957
2026-07-11T00:09:00Z,exporter,us-east-1,t-02223,10375,80,76.81,203.91,353.46,22148372,72664241
2026-07-11T00:55:00Z,ingest-api,us-east-1,t-02064,10410,80,43.42,96.00,156.17,23521997,76740300
2026-07-11T00:11:00Z,alerting,us-west-2,t-01253,10667,92,63.96,134.90,247.22,20968049,30338184
2026-07-11T00:56:00Z,billing,eu-central-1,t-00593,2842,38,55.55,122.37,244.48,4009798,3798520
2026-07-11T00:10:00Z,query-api,ap-southeast-2,t-01418,6185,46,33.75,81.04,109.49,6013466,11067797
2026-07-11T00:31:00Z,billing,eu-central-1,t-03973,545,0,33.95,70.51,114.98,742973,3705338
2026-07-11T00:21:00Z,billing,us-west-2,t-01381,1266,17,56.65,151.80,276.60,2768254,4474442
2026-07-11T00:52:00Z,alerting,ap-southeast-2,t-03101,7866,22,60.85,115.82,180.01,4445623,53630893
2026-07-11T00:16:00Z,alerting,us-east-1,t-03337,2587,17,32.36,81.82,109.76,3442964,13037134
2026-07-11T00:53:00Z,exporter,eu-central-1,t-00450,6950,91,22.93,58.79,91.75,12249447,41227246
2026-07-11T00:19:00Z,query-api,ap-southeast-2,t-02839,9151,13,50.32,95.78,195.72,5849488,38952477
2026-07-11T00:00:00Z,alerting,ap-southeast-2,t-00735,2908,20,43.64,96.10,132.86,7167733,11264735
2026-07-11T00:03:00Z,alerting,eu-central-1,t-03430,3089,40,51.98,127.94,195.05,2241431,23316235
2026-07-11T00:54:00Z,query-api,us-west-2,t-01424,8301,110,56.68,147.73,208.60,16352913,46270960
2026-07-11T00:22:00Z,alerting,us-west-2,t-01738,9762,42,55.44,109.40,228.13,22266456,41532955
2026-07-11T00:18:00Z,alerting,eu-central-1,t-00445,1851,4,65.89,142.47,290.62,2573093,9843583
2026-07-11T00:21:00Z,exporter,us-west-2,t-02782,11449,146,21.34,49.30,92.49,24268446,28963515
2026-07-11T00:11:00Z,exporter,us-west-2,t-02589,5160,42,59.89,127.77,198.75,4684346,16537132
2026-07-11T00:35:00Z,exporter,us-east-1,t-03582,3239,23,45.98,101.36,153.85,8068744,3858301
2026-07-11T00:27:00Z,ingest-api,eu-central-1,t-01898,10184,14,44.37,107.69,201.51,25883265,63092977
2026-07-11T00:09:00Z,exporter,us-east-1,t-03914,385,2,52.53,115.46,181.67,600018,1556446
2026-07-11T00:27:00Z,query-api,us-west-2,t-03932,6180,59,46.20,114.50,175.45,6798018,10019367
2026-07-11T00:43:00Z,exporter,us-west-2,t-02579,9011,88,72.60,142.89,259.83,21389808,40100128
2026-07-11T00:13:00Z,ingest-api,us-east-1,t-02520,10390,17,22.94,63.53,116.36,26454144,40924857
2026-07-11T00:10:00Z,query-api,ap-southeast-2,t-02030,8502,49,56.33,117.71,241.16,12469150,44233734
2026-07-11T00:20:00Z,query-api,us-west-2,t-03644,8693,31,25.61,66.39,131.97,17024856,32334636
2026-07-11T00:58:00Z,alerting,ap-southeast-2,t-01865,5886,54,40.10,94.91,192.36,6877123,14184648
2026-07-11T00:16:00Z,exporter,ap-southeast-2,t-03767,1634,17,62.55,142.30,190.58,4016701,2683698
2026-07-11T00:42:00Z,exporter,eu-central-1,t-02892,9739,102,43.30,115.65,155.25,20804915,18307215
2026-07-11T00:46:00Z,alerting,us-west-2,t-00370,10247,113,23.86,48.70,76.96,15915255,49052070
2026-07-11T00:29:00Z,query-api,us-east-1,t-00323,3443,23,40.51,73.96,141.76,3693801,11830898
2026-07-11T00:28:00Z,billing,us-west-2,t-00087,5793,75,21.51,48.97,73.49,8814781,18905960
2026-07-11T00:23:00Z,ingest-api,us-west-2,t-03508,6668,0,29.42,60.89,99.85,9900296,35150259
2026-07-11T00:44:00Z,ingest-api,us-east-1,t-01724,6662,77,44.41,89.99,153.31,10706934,14463343
2026-07-11T00:43:00Z,ingest-api,eu-central-1,t-00694,1555,7,48.65,98.27,183.86,1446670,10629160
2026-07-11T00:41:00Z,query-api,us-east-1,t-00977,2917,1,54.05,129.31,237.94,5565119,13061673
2026-07-11T00:20:00Z,alerting,ap-southeast-2,t-00826,9935,141,40.55,100.20,168.51,7051253,24316274
2026-07-11T00:59:00Z,alerting,ap-southeast-2,t-02018,7154,14,57.92,110.44,183.35,15788705,22159092
2026-07-11T00:36:00Z,alerting,us-west-2,t-02651,5832,30,21.44,38.86,64.05,11573583,37985366
2026-07-11T00:47:00Z,ingest-api,eu-central-1,t-01605,2161,3,29.74,67.85,113.63,5177936,10807143
2026-07-11T00:39:00Z,alerting,ap-southeast-2,t-02622,1168,16,64.61,123.96,239.82,957517,2871452
2026-07-11T00:50:00Z,billing,us-east-1,t-01125,4093,2,59.92,117.65,179.13,7649994,25798696
2026-07-11T00:10:00Z,billing,us-east-1,t-01540,5822,63,77.73,164.80,334.34,6143799,15031376
2026-07-11T00:10:00Z,query-api,us-east-1,t-02416,1266,7,51.84,102.24,150.53,1660251,2406289
2026-07-11T00:15:00Z,alerting,us-west-2,t-03761,3668,3,55.67,103.15,186.54,7221607,4777389
2026-07-11T00:22:00Z,exporter,eu-central-1,t-01435,5969,35,71.73,171.13,226.05,9269262,17037017
2026-07-11T00:32:00Z,alerting,us-west-2,t-02466,5767,9,30.18,56.88,86.83,11757946,26874063
2026-07-11T00:00:00Z,ingest-api,us-east-1,t-03160,10642,144,67.23,126.34,167.77,10489139,71442799
2026-07-11T00:33:00Z,alerting,eu-central-1,t-00031,4182,17,48.93,106.71,214.44,1974999,28205695
2026-07-11T00:29:00Z,ingest-api,us-west-2,t-00821,5113,63,35.09,95.30,132.76,3894139,12362289
2026-07-11T00:44:00Z,alerting,ap-southeast-2,t-00417,8725,15,75.61,194.02,262.94,20805883,48069900
2026-07-11T00:13:00Z,exporter,us-east-1,t-01786,9121,48,55.73,103.63,196.62,19677079,15386040
2026-07-11T00:22:00Z,ingest-api,us-west-2,t-00724,82,1,40.68,78.34,103.17,76533,597042
2026-07-11T00:46:00Z,exporter,ap-southeast-2,t-00571,6743,69,45.69,102.17,177.40,5530430,30717611
2026-07-11T00:17:00Z,query-api,us-west-2,t-02105,1884,15,25.57,46.90,76.69,3678957,13849759
2026-07-11T00:46:00Z,alerting,us-east-1,t-01641,1440,12,21.70,41.79,55.38,2125933,5426444
2026-07-11T00:18:00Z,exporter,eu-central-1,t-02167,5263,4,22.34,61.48,127.12,10827340,12860187
2026-07-11T00:06:00Z,ingest-api,ap-southeast-2,t-00208,8900,48,66.02,134.25,214.36,21114480,56144768
2026-07-11T00:18:00Z,billing,eu-central-1,t-02224,5866,41,53.57,127.33,207.58,4719741,7660456
2026-07-11T00:39:00Z,query-api,us-west-2,t-03400,2514,9,45.77,113.12,215.61,3590680,13709443
2026-07-11T00:09:00Z,exporter,us-west-2,t-01374,7059,8,32.51,62.16,126.83,7635834,17904504
2026-07-11T00:15:00Z,exporter,ap-southeast-2,t-00141,5829,41,72.84,198.38,304.42,13331751,17730793
2026-07-11T00:35:00Z,query-api,us-east-1,t-03800,1840,11,70.60,141.11,254.00,2631647,11226214
2026-07-11T00:53:00Z,alerting,us-east-1,t-03175,4571,52,69.27,146.53,294.99,3404818,24304682
2026-07-11T00:19:00Z,ingest-api,us-east-1,t-02015,1507,21,46.33,111.93,204.22,1057505,4221059
2026-07-11T00:11:00Z,ingest-api,ap-southeast-2,t-02094,6377,78,49.47,102.49,164.29,14756733,15420991
2026-07-11T00:55:00Z,billing,us-west-2,t-01330,9262,38,75.45,183.50,304.02,6161645,17517509
2026-07-11T00:21:00Z,query-api,us-west-2,t-03241,10199,88,59.55,150.73,276.80,21577856,28024641
2026-07-11T00:19:00Z,ingest-api,ap-southeast-2,t-01898,9258,113,75.95,187.12,329.55,6636991,62031383
2026-07-11T00:44:00Z,exporter,ap-southeast-2,t-02234,1956,5,28.35,56.53,83.53,1134655,9912348
2026-07-11T00:34:00Z,query-api,ap-southeast-2,t-02390,2039,17,61.43,155.51,313.09,2243753,9646666
2026-07-11T00:07:00Z,query-api,us-east-1,t-02804,1374,1,78.61,146.72,302.66,2702269,4253818
2026-07-11T00:35:00Z,ingest-api,ap-southeast-2,t-00129,1459,11,31.35,76.64,149.05,1720529,6884656
2026-07-11T00:41:00Z,exporter,us-west-2,t-00945,1656,11,44.15,117.90,162.00,2263460,4014523
2026-07-11T00:48:00Z,billing,us-west-2,t-00407,1948,10,56.02,155.40,312.32,3773805,10419546
2026-07-11T00:46:00Z,ingest-api,us-west-2,t-01267,5536,76,33.15,86.55,176.61,13406844,35233555
2026-07-11T00:25:00Z,exporter,us-east-1,t-03162,3905,1,45.49,92.98,127.60,10035384,27996864
2026-07-11T00:44:00Z,alerting,us-west-2,t-02187,3044,23,52.63,145.26,289.28,6573716,9427789
2026-07-11T00:38:00Z,billing,ap-southeast-2,t-00278,7109,97,45.06,100.79,151.91,17010121,53760016
2026-07-11T00:42:00Z,exporter,eu-central-1,t-03415,2765,29,38.75,78.50,138.28,6945347,5125626
2026-07-11T00:46:00Z,exporter,eu-central-1,t-01910,2784,0,62.91,142.14,188.69,6353876,18942540
2026-07-11T00:33:00Z,alerting,us-east-1,t-00373,10236,119,65.76,127.94,245.57,11349064,57788309
2026-07-11T00:36:00Z,query-api,ap-southeast-2,t-03520,4328,47,28.00,69.27,140.91,3055354,9435273
2026-07-11T00:47:00Z,billing,us-east-1,t-00964,9127,19,65.86,164.04,295.57,9573001,59169552
2026-07-11T00:04:00Z,billing,us-east-1,t-01110,10328,84,25.76,61.06,90.86,4552299,73511272
2026-07-11T00:09:00Z,exporter,us-east-1,t-01699,9781,99,48.25,110.90,171.37,25373973,71649825
2026-07-11T00:41:00Z,ingest-api,us-east-1,t-00647,5130,53,45.76,89.94,186.77,4873895,32494336
2026-07-11T00:16:00Z,alerting,eu-central-1,t-01918,2249,19,70.73,168.36,329.23,5235870,5857918
2026-07-11T00:17:00Z,query-api,us-west-2,t-03130,3675,37,26.46,57.07,82.32,8202330,8613362
2026-07-11T00:15:00Z,billing,eu-central-1,t-03879,9945,35,35.81,78.55,149.28,13258161,40548649
2026-07-11T00:07:00Z,query-api,us-west-2,t-03458,277,2,37.89,78.01,147.73,222416,2073490
2026-07-11T00:18:00Z,query-api,eu-central-1,t-00151,6191,79,28.67,66.73,126.92,6045645,42306210
2026-07-11T00:09:00Z,billing,us-west-2,t-01408,5254,77,50.82,97.60,127.36,11964700,40099132
2026-07-11T00:07:00Z,alerting,eu-central-1,t-03199,11936,72,50.64,139.80,207.11,9812456,80262573
2026-07-11T00:36:00Z,alerting,us-west-2,t-02917,6609,65,60.30,155.25,318.79,14400322,43932635
2026-07-11T00:23:00Z,billing,us-east-1,t-02679,7672,84,22.92,45.48,83.75,15432208,51442294
2026-07-11T00:00:00Z,exporter,us-east-1,t-03702,22,0,31.03,65.01,111.52,20354,35277
2026-07-11T00:27:00Z,alerting,eu-central-1,t-02849,640,0,64.12,135.15,200.75,930425,3103159
2026-07-11T00:07:00Z,billing,ap-southeast-2,t-03325,10992,18,30.56,76.46,127.61,15118153,38144823
2026-07-11T00:18:00Z,alerting,us-west-2,t-01034,2707,10,76.48,201.78,411.35,1964800,18643022
2026-07-11T00:44:00Z,exporter,eu-central-1,t-02347,11841,41,42.16,105.47,138.44,20018716,66018738
2026-07-11T00:55:00Z,billing,us-west-2,t-01461,9436,109,32.46,90.77,190.18,18867413,18063198
2026-07-11T00:11:00Z,ingest-api,us-west-2,t-00459,3208,17,41.85,102.47,177.20,5573373,17744890
2026-07-11T00:45:00Z,ingest-api,eu-central-1,t-02198,7735,10,30.12,69.19,139.04,12104416,52262018
2026-07-11T00:56:00Z,billing,ap-southeast-2,t-01706,4325,64,71.63,182.14,357.99,5275734,8009969
2026-07-11T00:41:00Z,exporter,eu-central-1,t-01789,4647,44,45.12,104.17,151.43,6958323,9791936
2026-07-11T00:41:00Z,exporter,eu-central-1,t-00373,4592,67,22.55,62.60,94.28,10067805,14116048
2026-07-11T00:29:00Z,billing,us-west-2,t-03514,4286,18,24.09,50.46,95.48,7335095,20870120
2026-07-11T00:54:00Z,ingest-api,us-west-2,t-01990,6468,48,65.45,123.03,228.22,8468631,46390244
2026-07-11T00:55:00Z,ingest-api,us-west-2,t-00475,10183,129,41.80,103.99,204.22,23801495,10786895
2026-07-11T00:13:00Z,billing,ap-southeast-2,t-00552,2218,16,52.72,136.18,249.11,3017607,3854642
2026-07-11T00:47:00Z,billing,ap-southeast-2,t-01038,5249,33,56.45,120.52,184.97,10725683,26938411
2026-07-11T00:36:00Z,billing,us-east-1,t-03660,2355,20,70.37,168.41,250.80,1074888,16744684
2026-07-11T00:06:00Z,billing,eu-central-1,t-00827,7958,100,67.89,148.34,230.09,3849211,56713778
2026-07-11T00:43:00Z,ingest-api,us-west-2,t-00089,1472,0,24.17,47.56,95.83,3664813,5192039
2026-07-11T00:29:00Z,ingest-api,eu-central-1,t-01738,1814,25,45.92,97.78,180.19,1597983,2180261
2026-07-11T00:13:00Z,exporter,eu-central-1,t-01569,3278,41,66.07,163.44,251.90,7112857,9575076
2026-07-11T00:41:00Z,alerting,us-west-2,t-03562,4622,8,74.06,192.54,255.59,9821613,27681150
2026-07-11T00:58:00Z,ingest-api,ap-southeast-2,t-02598,4789,22,45.76,102.11,146.58,2985484,22787188
2026-07-11T00:57:00Z,alerting,eu-central-1,t-03006,9142,104,41.89,102.00,195.79,11771315,52379952
2026-07-11T00:16:00Z,alerting,us-east-1,t-03049,3571,46,56.32,109.07,217.92,2922447,8662357
2026-07-11T00:20:00Z,query-api,eu-central-1,t-03444,10181,20,79.96,163.74,342.84,10111019,75759625
2026-07-11T00:50:00Z,billing,us-east-1,t-00529,3404,31,70.27,137.43,236.13,7319921,22571000
2026-07-11T00:40:00Z,ingest-api,us-east-1,t-03903,11827,27,59.50,140.33,243.96,19419151,27979926
2026-07-11T00:12:00Z,alerting,us-east-1,t-01134,4463,24,43.34,91.51,174.43,4219972,26021644
2026-07-11T00:00:00Z,alerting,us-west-2,t-00742,1067,12,37.65,80.51,122.18,790997,2287916
2026-07-11T00:57:00Z,exporter,us-east-1,t-02582,11902,25,54.62,115.50,203.33,24295388,21030022
2026-07-11T00:28:00Z,query-api,eu-central-1,t-01581,9218,135,52.67,96.41,181.84,12393329,56677730
2026-07-11T00:02:00Z,billing,us-west-2,t-03091,5283,43,64.19,121.91,195.46,5964662,26793520
2026-07-11T00:18:00Z,query-api,ap-southeast-2,t-01475,3226,23,64.84,168.46,273.53,7490127,14852421
2026-07-11T00:33:00Z,ingest-api,ap-southeast-2,t-02908,10389,10,59.86,158.73,309.35,8570598,39083204
2026-07-11T00:24:00Z,query-api,us-east-1,t-03317,3649,44,72.68,131.66,225.29,4657752,17485866
2026-07-11T00:31:00Z,exporter,us-east-1,t-03455,8306,108,63.55,117.43,178.71,13391074,28089882
2026-07-11T00:05:00Z,billing,us-east-1,t-01349,1768,21,53.38,118.76,241.93,3985146,11931159
2026-07-11T00:05:00Z,exporter,us-east-1,t-03781,10101,128,72.62,159.11,217.98,9167441,49387164
2026-07-11T00:46:00Z,query-api,ap-southeast-2,t-01597,5664,68,75.38,153.75,218.07,6656842,22048717
2026-07-11T00:39:00Z,alerting,us-east-1,t-03764,2569,12,51.67,131.30,190.76,2277289,5834391
2026-07-11T00:13:00Z,query-api,ap-southeast-2,t-01348,10761,20,73.30,198.29,359.43,21781497,14742679
2026-07-11T00:46:00Z,billing,eu-central-1,t-00431,5256,52,64.40,116.02,185.57,8343806,37869789
2026-07-11T00:01:00Z,billing,us-west-2,t-00696,1270,1,54.61,107.99,199.19,1324352,8097745
2026-07-11T00:55:00Z,billing,ap-southeast-2,t-02164,2966,8,51.72,95.47,186.94,5789561,20213394
2026-07-11T00:47:00Z,query-api,us-east-1,t-03902,3729,46,67.62,154.25,260.80,3004060,19403086
2026-07-11T00:01:00Z,alerting,eu-central-1,t-01725,8966,66,40.49,80.65,165.95,14966536,17884190
2026-07-11T00:21:00Z,alerting,ap-southeast-2,t-00169,9309,12,54.80,113.33,164.78,9788766,27901993
2026-07-11T00:10:00Z,billing,eu-central-1,t-01083,7932,26,75.58,137.54,249.83,9008669,52718362
2026-07-11T00:32:00Z,exporter,us-west-2,t-03576,8399,6,48.42,121.01,244.13,12118406,52960902
2026-07-11T00:35:00Z,exporter,eu-central-1,t-01383,2017,8,24.88,58.51,100.63,3085599,10904515
2026-07-11T00:15:00Z,exporter,us-west-2,t-01723,11985,29,50.47,134.36,200.34,18758151,57751163
2026-07-11T00:11:00Z,query-api,eu-central-1,t-02160,6024,0,22.07,51.20,81.59,6590946,44219767
2026-07-11T00:53:00Z,billing,ap-southeast-2,t-03218,283,3,39.24,99.19,135.26,222773,1955659
2026-07-11T00:50:00Z,alerting,us-west-2,t-03413,10340,150,62.82,158.13,216.22,14886873,14620742
