ts,service,region,tenant,requests,errors,p50_ms,p95_ms,p99_ms,bytes_in,bytes_out
2026-07-10T00:52:00Z,ingest-api,us-east-1,t-02807,11571,148,42.64,85.43,157.10,18843851,38228711
2026-07-10T00:09:00Z,ingest-api,us-east-1,t-01859,6560,21,76.35,161.53,320.38,9133930,35081879
2026-07-10T00:05:00Z,alerting,us-west-2,t-00515,1631,17,77.66,215.24,322.98,4057124,12417788
2026-07-10T00:01:00Z,billing,ap-southeast-2,t-01910,1065,11,30.09,60.95,87.07,1083151,1242980
2026-07-10T00:15:00Z,ingest-api,ap-southeast-2,t-00235,96,1,32.65,73.33,133.31,44060,599241
2026-07-10T00:57:00Z,exporter,ap-southeast-2,t-02986,11007,149,24.22,49.72,100.50,24988678,21125077
2026-07-10T00:01:00Z,query-api,ap-southeast-2,t-02887,5189,70,31.26,60.07,104.51,6572047,12970257
2026-07-10T00:24:00Z,billing,eu-central-1,t-03512,978,6,60.64,155.94,281.11,2231771,5043474
2026-07-10T00:56:00Z,ingest-api,us-west-2,t-00158,372,0,65.67,123.59,192.07,803772,1474408
2026-07-10T00:18:00Z,ingest-api,us-east-1,t-03707,11382,113,20.13,53.98,81.99,19793985,38591838
2026-07-10T00:37:00Z,alerting,us-west-2,t-03512,10058,7,37.68,96.73,183.54,6850730,24483530
2026-07-10T00:53:00Z,alerting,eu-central-1,t-03521,409,2,70.98,128.26,186.93,181159,567478
2026-07-10T00:34:00Z,query-api,us-east-1,t-00780,340,4,73.14,153.75,251.06,671277,1701109
2026-07-10T00:51:00Z,billing,ap-southeast-2,t-01884,1781,18,77.25,181.14,273.85,914741,12152020
2026-07-10T00:55:00Z,exporter,eu-central-1,t-03781,1267,7,38.07,87.75,136.48,526285,3064209
2026-07-10T00:36:00Z,exporter,ap-southeast-2,t-03661,321,0,60.88,122.87,250.86,234709,916323
2026-07-10T00:39:00Z,ingest-api,ap-southeast-2,t-02510,5980,81,78.51,153.78,316.06,14175577,23839990
2026-07-10T00:43:00Z,billing,us-west-2,t-02791,8734,45,70.62,150.49,262.81,18193286,34235931
2026-07-10T00:22:00Z,billing,us-east-1,t-02228,9686,27,25.48,50.45,66.76,16235280,32706035
2026-07-10T00:17:00Z,ingest-api,us-east-1,t-00795,6416,38,35.57,88.50,141.14,16008574,14212852
2026-07-10T00:52:00Z,billing,us-west-2,t-02796,770,3,45.64,93.59,194.78,1992447,3319267
2026-07-10T00:50:00Z,ingest-api,ap-southeast-2,t-01594,2269,21,41.41,80.68,120.48,2054666,11302095
2026-07-10T00:15:00Z,alerting,us-west-2,t-03866,10065,52,40.09,77.72,156.92,10617012,28928265
2026-07-10T00:26:00Z,ingest-api,ap-southeast-2,t-00507,10238,56,61.35,150.23,283.32,23830367,25254499
2026-07-10T00:04:00Z,billing,us-east-1,t-02448,11206,7,53.49,128.83,226.21,11235927,25382595
2026-07-10T00:07:00Z,billing,eu-central-1,t-03706,6254,18,50.52,124.35,212.54,14270306,39828703
2026-07-10T00:38:00Z,ingest-api,ap-southeast-2,t-02108,3779,31,55.32,118.03,221.24,2686125,22182743
2026-07-10T00:03:00Z,alerting,ap-southeast-2,t-02536,6331,42,70.73,160.03,275.22,16414954,17529202
2026-07-10T00:08:00Z,alerting,ap-southeast-2,t-00889,10410,36,49.97,134.33,195.47,4166738,27152024
2026-07-10T00:17:00Z,exporter,us-east-1,t-03215,7330,68,60.60,162.75,265.91,4290011,12247005
2026-07-10T00:26:00Z,query-api,ap-southeast-2,t-03208,1830,25,65.11,150.44,211.33,1861390,13491955
2026-07-10T00:19:00Z,exporter,us-east-1,t-00734,6278,52,23.56,53.07,74.11,11326922,40502135
2026-07-10T00:40:00Z,exporter,ap-southeast-2,t-02771,6916,87,72.69,147.92,234.91,16288390,9130287
2026-07-10T00:27:00Z,query-api,eu-central-1,t-00560,8746,6,40.52,92.52,139.65,12922065,21560513
2026-07-10T00:11:00Z,billing,us-west-2,t-00152,10677,37,37.63,103.94,184.86,18785733,27420709
2026-07-10T00:15:00Z,billing,eu-central-1,t-01263,1412,17,25.91,48.05,63.06,1495566,6147098
2026-07-10T00:03:00Z,query-api,us-east-1,t-03381,8683,10,39.49,87.83,139.97,14715504,18654603
2026-07-10T00:44:00Z,billing,ap-southeast-2,t-01652,2412,32,21.47,40.01,68.41,1172975,5471335
2026-07-10T00:50:00Z,alerting,eu-central-1,t-03953,6450,81,75.79,180.77,348.17,7275422,44438178
2026-07-10T00:49:00Z,billing,ap-southeast-2,t-03688,9027,42,23.09,46.43,87.78,16977749,35516177
2026-07-10T00:29:00Z,alerting,ap-southeast-2,t-01301,11405,87,26.47,51.38,80.67,15468040,69200015
2026-07-10T00:39:00Z,alerting,us-east-1,t-01623,7473,1,28.54,52.15,81.82,18499608,19211369
2026-07-10T00:38:00Z,exporter,eu-central-1,t-01273,6117,46,59.80,120.89,172.09,12809448,13431738
2026-07-10T00:21:00Z,query-api,eu-central-1,t-02673,3904,55,78.39,155.17,283.42,8478700,24612202
2026-07-10T00:59:00Z,billing,eu-central-1,t-03732,7170,73,46.47,107.20,222.27,17960833,20577026
2026-07-10T00:06:00Z,query-api,eu-central-1,t-01391,2726,15,67.07,171.67,238.92,5680191,10760864
2026-07-10T00:49:00Z,billing,ap-southeast-2,t-00315,11156,51,42.19,97.96,194.98,12399804,63911508
2026-07-10T00:06:00Z,billing,eu-central-1,t-00967,7950,38,44.23,87.73,126.29,15369042,39866583
2026-07-10T00:32:00Z,alerting,eu-central-1,t-02934,540,3,35.66,71.72,130.75,1257580,1407775
2026-07-10T00:58:00Z,billing,us-east-1,t-02228,3191,22,57.72,116.10,202.07,6256137,9382362
2026-07-10T00:49:00Z,alerting,ap-southeast-2,t-03922,10306,25,40.49,105.78,152.09,6523438,47605513
2026-07-10T00:24:00Z,alerting,eu-central-1,t-01350,1773,1,27.14,64.15,84.27,4167220,13039209
2026-07-10T00:37:00Z,query-api,us-west-2,t-03224,10115,81,51.18,136.23,279.56,16939687,35401490
2026-07-10T00:50:00Z,query-api,ap-southeast-2,t-00522,6149,65,49.24,97.09,143.65,6018801,19084130
2026-07-10T00:00:00Z,billing,ap-southeast-2,t-01820,2958,9,48.01,120.16,156.75,4978323,10666358
2026-07-10T00:36:00Z,billing,eu-central-1,t-02254,9004,114,63.23,136.93,249.00,19810577,52175298
2026-07-10T00:06:00Z,billing,us-east-1,t-02947,635,4,37.55,82.86,135.81,662051,3452817
2026-07-10T00:19:00Z,alerting,ap-southeast-2,t-01915,2944,26,33.23,85.51,159.76,5151894,7976528
2026-07-10T00:21:00Z,billing,eu-central-1,t-02948,7736,77,77.86,172.51,279.40,11427534,53708815
2026-07-10T00:48:00Z,alerting,eu-central-1,t-02722,11176,45,75.60,176.08,369.10,5389964,64004766
2026-07-10T00:07:00Z,ingest-api,us-east-1,t-00892,5688,26,34.74,88.37,155.53,7980497,17527765
2026-07-10T00:52:00Z,query-api,ap-southeast-2,t-03011,3897,42,79.71,145.99,261.24,5929619,19107955
2026-07-10T00:30:00Z,exporter,us-west-2,t-01798,11848,157,70.69,132.60,268.93,21669714,23182287
2026-07-10T00:11:00Z,ingest-api,eu-central-1,t-03406,1978,10,60.42,114.82,149.62,3020915,12928512
2026-07-10T00:21:00Z,alerting,us-west-2,t-01552,8088,85,35.62,95.18,132.97,3665800,25047433
2026-07-10T00:18:00Z,billing,eu-central-1,t-01833,2598,15,27.74,62.76,87.82,3857781,6771766
2026-07-10T00:04:00Z,exporter,ap-southeast-2,t-01722,11758,12,51.43,115.24,174.82,19215795,77951405
2026-07-10T00:14:00Z,query-api,eu-central-1,t-03282,688,2,43.06,83.58,158.05,1228332,3271220
2026-07-10T00:55:00Z,query-api,ap-southeast-2,t-02701,11985,126,35.72,71.40,145.79,22505531,35068476
2026-07-10T00:15:00Z,billing,us-east-1,t-03226,935,9,20.02,37.58,78.52,1748686,895846
2026-07-10T00:12:00Z,exporter,us-east-1,t-03125,10742,95,35.18,91.75,181.65,24434180,78102982
2026-07-10T00:27:00Z,billing,ap-southeast-2,t-00785,3604,14,21.00,43.20,57.00,6661762,4830551
2026-07-10T00:42:00Z,ingest-api,us-west-2,t-01698,11761,109,53.00,140.78,243.70,8580630,73231010
2026-07-10T00:10:00Z,exporter,ap-southeast-2,t-02386,3133,19,65.68,137.72,281.48,4257171,18137230
2026-07-10T00:41:00Z,ingest-api,us-west-2,t-01499,9901,118,37.82,71.31,132.44,25046036,16321174
2026-07-10T00:57:00Z,billing,us-west-2,t-01036,11283,76,64.91,176.24,349.42,22660718,40860626
2026-07-10T00:58:00Z,query-api,us-west-2,t-01976,9793,85,30.51,59.26,115.58,9755691,21448366
2026-07-10T00:49:00Z,billing,us-west-2,t-02708,10143,133,70.13,167.70,349.61,23214236,35748413
2026-07-10T00:12:00Z,exporter,ap-southeast-2,t-01216,8177,8,21.45,44.05,65.66,15855660,34758358
2026-07-10T00:26:00Z,query-api,eu-central-1,t-03851,8404,73,44.63,123.74,166.02,15172824,61798800
2026-07-10T00:30:00Z,billing,ap-southeast-2,t-02132,10118,69,29.73,66.71,103.20,9793978,77522336
2026-07-10T00:25:00Z,exporter,ap-southeast-2,t-01134,680,8,46.26,124.00,184.37,1144737,4899774
2026-07-10T00:27:00Z,alerting,eu-central-1,t-00038,5946,20,40.08,100.61,203.90,7761980,7395018
2026-07-10T00:18:00Z,ingest-api,us-west-2,t-00227,4058,52,21.52,40.67,83.25,10424639,29343043
2026-07-10T00:36:00Z,ingest-api,us-west-2,t-03083,2095,14,57.40,117.49,186.40,2876293,15667711
2026-07-10T00:28:00Z,alerting,ap-southeast-2,t-03196,8227,103,55.81,100.53,206.60,12185411,57811701
2026-07-10T00:14:00Z,alerting,us-west-2,t-00266,9752,105,25.81,52.42,79.14,5633750,74065548
2026-07-10T00:38:00Z,billing,us-east-1,t-01990,3291,40,23.74,65.33,133.32,4950413,14142935
2026-07-10T00:36:00Z,ingest-api,us-west-2,t-01697,11099,127,23.69,45.04,94.14,17694463,46017372
2026-07-10T00:23:00Z,alerting,us-west-2,t-02938,10313,75,45.22,116.89,157.62,15390291,56535929
2026-07-10T00:51:00Z,alerting,us-east-1,t-03469,2738,3,50.91,118.25,189.24,4125311,17885535
2026-07-10T00:45:00Z,billing,eu-central-1,t-02285,11706,65,36.03,81.46,132.35,19064812,88958766
2026-07-10T00:01:00Z,billing,us-east-1,t-00358,8327,28,44.43,108.52,151.21,3630971,17247329
2026-07-10T00:19:00Z,ingest-api,us-east-1,t-03900,9386,30,54.78,128.20,222.98,7175448,57336957
2026-07-10T00:09:00Z,query-api,us-west-2,t-02742,4331,42,55.95,135.23,237.71,4385338,8689895
2026-07-10T00:16:00Z,alerting,us-west-2,t-01606,9924,129,30.60,65.35,96.91,8031081,19103632
2026-07-10T00:13:00Z,exporter,eu-central-1,t-02891,2763,26,55.36,101.47,188.87,2357198,13459066
2026-07-10T00:34:00Z,exporter,us-east-1,t-02363,3583,45,35.34,98.69,137.71,2084744,11945518
2026-07-10T00:23:00Z,ingest-api,eu-central-1,t-03408,9765,86,29.55,70.20,134.91,13235843,16841183
2026-07-10T00:00:00Z,ingest-api,eu-central-1,t-03045,5749,65,60.67,156.31,288.33,4060868,27444747
2026-07-10T00:15:00Z,exporter,ap-southeast-2,t-00287,5387,28,61.03,136.21,258.47,5440996,21416088
2026-07-10T00:47:00Z,billing,us-west-2,t-03025,4723,7,21.56,59.77,87.97,3202059,10411558
2026-07-10T00:30:00Z,exporter,us-east-1,t-00127,10979,88,79.72,163.46,217.98,23600756,17860654
2026-07-10T00:58:00Z,alerting,eu-central-1,t-01455,10806,146,33.15,63.86,126.29,23503295,45388820
2026-07-10T00:26:00Z,exporter,us-east-1,t-02669,2663,10,76.31,164.24,260.46,2091228,17155117
2026-07-10T00:43:00Z,query-api,us-west-2,t-02321,11815,40,45.71,100.67,161.21,6967721,39024293
2026-07-10T00:29:00Z,alerting,us-west-2,t-03326,3473,29,32.45,60.96,81.23,4903158,12400007
2026-07-10T00:34:00Z,ingest-api,us-east-1,t-00205,7510,110,52.09,130.07,233.70,3216787,45620241
2026-07-10T00:39:00Z,ingest-api,ap-southeast-2,t-02934,7393,20,33.31,60.48,90.80,4336146,14813714
2026-07-10T00:15:00Z,exporter,us-east-1,t-03543,7415,110,31.17,67.93,106.57,7641507,40339621
2026-07-10T00:11:00Z,exporter,eu-central-1,t-00910,6666,27,67.64,131.76,232.75,17225815,29959318
2026-07-10T00:37:00Z,alerting,ap-southeast-2,t-02229,11137,65,79.54,157.45,311.24,4624512,69101028
2026-07-10T00:22:00Z,query-api,us-east-1,t-02501,5983,52,61.38,114.37,186.29,4138449,13560457
2026-07-10T00:50:00Z,alerting,ap-southeast-2,t-00975,11138,10,39.69,87.24,144.70,7920032,62577858
2026-07-10T00:22:00Z,alerting,eu-central-1,t-02168,8340,20,77.70,141.36,233.51,6862902,48621714
2026-07-10T00:37:00Z,alerting,ap-southeast-2,t-03038,10842,77,75.19,159.18,247.77,8848728,39721828
2026-07-10T00:06:00Z,exporter,ap-southeast-2,t-02623,8190,84,63.21,128.43,247.25,8866321,8808850
2026-07-10T00:46:00Z,ingest-api,us-west-2,t-03216,11621,35,61.42,111.24,173.92,25398601,54131143
2026-07-10T00:08:00Z,exporter,ap-southeast-2,t-03831,10707,82,69.26,127.05,168.10,17055923,55975420
2026-07-10T00:43:00Z,ingest-api,us-west-2,t-02396,8416,25,51.51,131.64,239.91,10178991,28331913
2026-07-10T00:43:00Z,ingest-api,us-west-2,t-01673,417,4,44.67,118.64,173.68,953110,2489598
2026-07-10T00:53:00Z,alerting,ap-southeast-2,t-02882,9280,0,51.75,117.93,228.60,11617145,12846088
2026-07-10T00:00:00Z,ingest-api,eu-central-1,t-03214,10692,94,43.16,82.05,156.45,20947635,25342954
2026-07-10T00:06:00Z,billing,us-east-1,t-00350,4604,32,35.90,73.54,107.21,7882761,24113915
2026-07-10T00:38:00Z,billing,us-west-2,t-03866,2606,20,31.33,65.96,138.49,4394549,17577853
2026-07-10T00:27:00Z,exporter,us-west-2,t-00873,9146,1,34.14,68.16,115.37,8991685,69183008
2026-07-10T00:03:00Z,query-api,eu-central-1,t-00370,1958,25,23.13,45.89,62.43,3749295,9272069
2026-07-10T00:50:00Z,exporter,eu-central-1,t-00282,1792,18,66.40,161.73,282.38,4206401,11141092
2026-07-10T00:04:00Z,alerting,us-east-1,t-01843,11807,149,39.32,98.83,196.60,27535314,85442763
2026-07-10T00:27:00Z,exporter,eu-central-1,t-02397,10106,74,42.89,118.12,224.66,18391780,19107758
2026-07-10T00:10:00Z,exporter,us-west-2,t-00206,5276,38,78.41,218.71,374.24,7588488,38441781
2026-07-10T00:14:00Z,billing,us-east-1,t-02696,10885,67,62.57,129.37,209.07,12434023,24439458
2026-07-10T00:42:00Z,alerting,us-east-1,t-00546,2466,11,43.55,105.10,137.43,2934909,8270074
2026-07-10T00:40:00Z,billing,us-west-2,t-02931,3861,11,54.98,116.51,213.51,4246029,5422915
2026-07-10T00:14:00Z,billing,us-west-2,t-02491,4764,9,20.63,49.00,75.07,5325677,15948068
2026-07-10T00:33:00Z,exporter,eu-central-1,t-02409,5166,73,28.00,72.78,124.88,7800523,32398231
2026-07-10T00:35:00Z,query-api,ap-southeast-2,t-02847,522,5,20.90,44.57,84.49,717677,1498856
2026-07-10T00:02:00Z,alerting,us-west-2,t-03317,11907,157,74.96,187.16,292.29,8971500,24420626
2026-07-10T00:36:00Z,alerting,ap-southeast-2,t-00703,6583,24,30.37,81.18,121.42,3530709,26636282
2026-07-10T00:18:00Z,alerting,eu-central-1,t-02838,6984,47,36.18,84.05,143.08,2909541,33739658
2026-07-10T00:58:00Z,alerting,ap-southeast-2,t-02340,11343,62,41.35,85.24,168.51,11473016,84011410
2026-07-10T00:11:00Z,exporter,ap-southeast-2,t-02167,11861,54,72.10,191.34,360.56,5285468,49371579
2026-07-10T00:29:00Z,exporter,ap-southeast-2,t-03634,7649,11,63.48,136.91,197.26,18010724,35003691
2026-07-10T00:37:00Z,billing,eu-central-1,t-02080,4043,57,66.11,162.92,250.26,8043241,7410299
2026-07-10T00:26:00Z,exporter,eu-central-1,t-01752,4592,10,34.72,74.81,125.90,9876185,5017423
2026-07-10T00:20:00Z,ingest-api,us-east-1,t-02780,3436,9,23.65,65.38,130.23,8202644,24611286
2026-07-10T00:03:00Z,exporter,us-east-1,t-02711,911,0,42.76,91.41,181.72,1809885,6617525
2026-07-10T00:40:00Z,exporter,ap-southeast-2,t-02455,7137,104,69.32,146.22,258.27,4046208,53546278
2026-07-10T00:39:00Z,alerting,ap-southeast-2,t-00405,6068,56,75.95,172.46,296.91,13961510,35046544
2026-07-10T00:53:00Z,exporter,eu-central-1,t-00743,11382,46,33.53,75.99,152.80,20482587,26000859
2026-07-10T00:02:00Z,query-api,us-east-1,t-00957,2769,14,35.06,85.12,131.58,1397538,6363461
2026-07-10T00:29:00Z,alerting,eu-central-1,t-00217,130,0,64.86,174.50,348.21,122860,276148
2026-07-10T00:33:00Z,ingest-api,eu-central-1,t-03163,1591,11,66.73,147.67,255.17,3327929,9300555
2026-07-10T00:12:00Z,billing,us-west-2,t-03417,5703,26,30.24,62.85,106.20,7732792,42176415
2026-07-10T00:35:00Z,exporter,ap-southeast-2,t-00539,7192,87,49.26,115.75,155.28,14142716,42390862
2026-07-10T00:18:00Z,alerting,eu-central-1,t-01106,3989,10,73.82,162.27,277.48,4477692,4484839
2026-07-10T00:30:00Z,query-api,us-west-2,t-00307,8991,121,46.13,119.04,218.45,13826074,28116561
2026-07-10T00:34:00Z,ingest-api,ap-southeast-2,t-01482,10466,130,63.30,125.05,240.26,5034737,64135147
2026-07-10T00:30:00Z,alerting,eu-central-1,t-02828,2099,24,65.42,152.39,261.41,1899152,12097451
2026-07-10T00:02:00Z,alerting,us-west-2,t-00443,11693,20,79.81,202.95,297.33,23361665,34412219
2026-07-10T00:13:00Z,ingest-api,us-west-2,t-00774,5269,31,38.30,106.77,170.96,10086697,8129759
2026-07-10T00:28:00Z,query-api,us-east-1,t-01746,3509,47,72.10,156.26,247.89,3982706,7023135
2026-07-10T00:52:00Z,exporter,us-east-1,t-03923,6559,77,20.37,52.08,99.77,9642414,35768819
2026-07-10T00:23:00Z,billing,us-east-1,t-03439,9825,113,37.25,101.96,184.63,12013268,39638898
2026-07-10T00:14:00Z,query-api,ap-southeast-2,t-02195,10983,87,39.84,74.17,135.87,24314349,19477771
2026-07-10T00:21:00Z,ingest-api,ap-southeast-2,t-03386,4370,21,56.33,133.95,215.49,8128812,24196201
2026-07-10T00:04:00Z,ingest-api,eu-central-1,t-01567,6385,90,30.09,73.67,105.53,15747329,46160384
2026-07-10T00:48:00Z,ingest-api,us-west-2,t-02422,5656,21,23.72,43.22,66.87,8835248,10417569
2026-07-10T00:03:00Z,billing,us-east-1,t-02175,935,12,44.70,83.93,120.36,1586376,5823604
2026-07-10T00:40:00Z,query-api,ap-southeast-2,t-00824,6736,79,31.97,63.09,120.35,5520550,35384028
2026-07-10T00:29:00Z,alerting,eu-central-1,t-02392,4669,11,64.16,121.62,231.78,8735603,28325277
2026-07-10T00:24:00Z,exporter,eu-central-1,t-00655,5545,55,48.11,130.28,246.94,4810599,19346527
2026-07-10T00:37:00Z,alerting,us-east-1,t-00240,9200,31,79.57,170.44,279.46,7390947,21623581
2026-07-10T00:00:00Z,ingest-api,ap-southeast-2,t-01414,2736,6,72.05,139.41,269.71,1380677,6402090
2026-07-10T00:30:00Z,exporter,ap-southeast-2,t-03439,10836,47,42.62,108.00,178.11,25794295,11044493
2026-07-10T00:21:00Z,exporter,eu-central-1,t-01444,1451,2,61.15,143.85,255.13,2487221,7594897
2026-07-10T00:32:00Z,exporter,us-east-1,t-00908,7591,58,57.29,142.15,189.93,15505879,21012983
2026-07-10T00:22:00Z,billing,us-west-2,t-03141,1388,17,25.97,70.67,147.33,1027310,9582505
2026-07-10T00:22:00Z,ingest-api,us-east-1,t-02883,10769,59,20.59,51.83,73.70,24445830,51026502
2026-07-10T00:28:00Z,query-api,us-east-1,t-02215,1390,17,69.74,135.80,212.26,3204587,6434183
2026-07-10T00:06:00Z,exporter,us-east-1,t-01305,3586,17,51.41,115.47,212.66,7250135,17643116
2026-07-10T00:02:00Z,alerting,us-west-2,t-02502,6503,72,26.81,62.27,116.18,15379043,27151182
2026-07-10T00:24:00Z,query-api,us-west-2,t-03897,11569,10,20.84,52.71,99.70,4751371,74097313
2026-07-10T00:02:00Z,exporter,us-east-1,t-02257,10623,78,31.79,64.71,113.51,12742655,74622956
2026-07-10T00:15:00Z,alerting,us-west-2,t-03769,2814,1,49.49,93.66,193.16,4317503,18190928
2026-07-10T00:31:00Z,query-api,eu-central-1,t-03774,6379,54,30.32,62.07,81.71,3293285,17708806
2026-07-10T00:16:00Z,alerting,us-east-1,t-00610,5520,17,49.76,100.60,142.82,4593279,7992522
2026-07-10T00:58:00Z,billing,ap-southeast-2,t-01804,5419,80,63.04,172.20,251.17,3027862,18281168
2026-07-10T00:58:00Z,alerting,us-west-2,t-02881,133,0,57.97,130.17,256.30,235566,491781
2026-07-10T00:37:00Z,billing,us-west-2,t-01841,6570,13,64.98,119.74,234.64,13114939,44933289
2026-07-10T00:28:00Z,query-api,ap-southeast-2,t-00071,807,1,66.94,127.81,180.74,462476,4774402
2026-07-10T00:02:00Z,ingest-api,us-west-2,t-03160,4177,1,62.49,154.07,304.30,8257480,28254102
2026-07-10T00:32:00Z,query-api,ap-southeast-2,t-01363,10388,63,66.58,120.38,160.16,15279089,40473223
2026-07-10T00:30:00Z,billing,us-east-1,t-03782,8071,27,66.90,146.79,202.29,4418966,57077645
2026-07-10T00:18:00Z,exporter,eu-central-1,t-03181,5567,68,53.76,118.59,222.83,12859472,12647175
2026-07-10T00:32:00Z,alerting,ap-southeast-2,t-01541,7736,84,37.93,72.96,116.49,3763577,43618745
2026-07-10T00:02:00Z,alerting,ap-southeast-2,t-02267,8889,93,54.90,149.50,245.54,13987102,23148942
2026-07-10T00:19:00Z,billing,eu-central-1,t-03396,4209,4,48.87,92.82,120.70,2602142,25090731
2026-07-10T00:47:00Z,query-api,us-west-2,t-00513,10820,93,41.21,96.39,193.25,15186337,33270853
2026-07-10T00:48:00Z,alerting,ap-southeast-2,t-02332,3684,47,28.14,59.29,97.67,1840511,22586967
2026-07-10T00:43:00Z,billing,ap-southeast-2,t-01911,2688,38,59.08,132.77,237.32,6709046,2643212
2026-07-10T00:59:00Z,alerting,eu-central-1,t-03855,566,3,47.46,107.58,224.21,1438743,3175343
2026-07-10T00:31:00Z,query-api,ap-southeast-2,t-03965,8856,52,32.37,68.77,112.37,8460093,52505125
2026-07-10T00:22:00Z,billing,ap-southeast-2,t-02439,4468,21,33.50,89.80,137.80,4400690,20008907
2026-07-10T00:04:00Z,billing,us-east-1,t-00993,713,0,31.31,57.88,79.00,1206003,2883303
2026-07-10T00:41:00Z,ingest-api,us-east-1,t-00680,5235,50,27.31,69.20,102.77,6348474,20953589
2026-07-10T00:13:00Z,ingest-api,us-west-2,t-00188,2626,7,69.65,183.70,374.63,3185707,6177375
2026-07-10T00:41:00Z,billing,us-east-1,t-02423,8132,40,21.19,43.11,69.21,9229224,33634508
2026-07-10T00:02:00Z,exporter,us-west-2,t-00304,1812,25,20.06,45.82,83.75,3464447,6300556
2026-07-10T00:42:00Z,exporter,ap-southeast-2,t-02211,11740,22,56.65,144.46,202.00,29141281,74995062
2026-07-10T00:37:00Z,alerting,us-west-2,t-00710,711,8,52.46,129.19,187.76,297114,676363
2026-07-10T00:44:00Z,query-api,us-east-1,t-01116,1486,19,27.01,73.65,117.52,1969403,5282706
2026-07-10T00:32:00Z,alerting,eu-central-1,t-00508,2788,24,73.82,167.45,228.37,4283378,13678124
2026-07-10T00:30:00Z,query-api,ap-southeast-2,t-01779,11911,111,63.10,127.83,212.15,5453341,68854735
2026-07-10T00:51:00Z,exporter,eu-central-1,t-00717,7430,62,65.19,134.21,239.72,5428297,48693733
2026-07-10T00:54:00Z,ingest-api,ap-southeast-2,t-01387,8522,116,29.97,67.01,124.33,9550707,39651781
2026-07-10T00:01:00Z,query-api,us-west-2,t-02403,7466,60,66.06,171.28,352.76,3598848,34900393
2026-07-10T00:54:00Z,alerting,ap-southeast-2,t-00749,7039,104,53.80,101.68,182.50,17097909,27226282
2026-07-10T00:37:00Z,alerting,us-west-2,t-03407,8645,7,71.17,158.14,248.12,21021999,64679079
2026-07-10T00:56:00Z,exporter,us-west-2,t-00760,9888,42,71.54,156.42,303.98,10177674,52708525
2026-07-10T00:06:00Z,ingest-api,us-east-1,t-01106,8874,125,74.44,134.35,226.07,6781628,58505112
2026-07-10T00:05:00Z,query-api,ap-southeast-2,t-02628,621,1,79.07,202.02,283.67,1056199,1564033
2026-07-10T00:31:00Z,billing,us-west-2,t-03869,4825,21,62.74,118.12,184.38,4498627,21355736
2026-07-10T00:56:00Z,alerting,us-east-1,t-01568,6230,92,25.81,63.94,113.40,12830458,14165446
2026-07-10T00:21:00Z,billing,us-west-2,t-00602,3591,46,41.84,75.51,137.61,4020093,27142592
2026-07-10T00:41:00Z,query-api,us-east-1,t-03441,7010,7,73.39,156.82,324.49,10950609,46190506
2026-07-10T00:40:00Z,alerting,eu-central-1,t-03412,1940,7,32.79,89.13,147.64,3276294,14148650
2026-07-10T00:33:00Z,ingest-api,us-west-2,t-00332,9223,80,62.47,123.73,235.59,19201424,44132697
